"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs","parameters/counterfactuals/alpha","parameters/counterfactuals/alpha_k","parameters/counterfactuals/alpha_s"
"COUN-8529","2024-05-19 21:54:46","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","2.0","0","1.0","1.0","1.0","0.5882285615054937","6.588145732879639","0.45773490990441834","1.3700221629502873","0.06023661801612595","1.0666331052780151","1","1","1"
"COUN-8430","2024-05-19 21:26:22","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","4.0","1","1.0","1.0","0.7142857142857143","0.4796922721283137","7.834829807281494","0.8325908837556166","2.557755262723991","0.05224727362104047","1.054754614830017","100","100","1"
"COUN-8407","2024-05-19 21:19:36","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","10.0","1","1.0","1.0","1.0","0.5163879132832392","7.438530921936035","0.49082732984916755","1.520394574052521","0.07217945308030697","1.0487308502197266","1","1","1000"
"COUN-8343","2024-05-19 21:06:25","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","1.0","0","1.0","1.0","1.0","0.5954464456635261","7.3989386558532715","0.471270471080004","1.5306972285422187","0.06955842174344291","1.0313783884048462","10","100","1"
"COUN-8356","2024-05-19 21:09:06","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","5.0","0","1.0","1.0","1.0","0.5830286681253505","7.852634906768799","0.4580026084204261","1.480096928930531","0.0743942073677522","1.0244795083999634","10","100","1000"
"COUN-8314","2024-05-19 20:59:14","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","7.0","2","1.0","1.0","0.99","0.010551430776321102","2.9893572330474854","0.6600852980094551","0.9088535617128946","0.02844270482637729","1.0339667797088623","1000","10","100"
"COUN-8377","2024-05-19 21:13:09","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","1.0","0","1.0","1.0","1.0","0.5120251725454231","8.363558769226074","0.711424235433426","2.297761821653694","0.06663391548584575","1.0220954418182373","1000","10","1"
"COUN-8384","2024-05-19 21:14:51","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","7.0","0","1.0","1.0","1.0","0.5692900387623167","8.193245887756348","0.5289512698126937","1.7030540532432497","0.0651415185821501","1.038810133934021","1000","1","100"
"COUN-8458","2024-05-19 21:37:46","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","6.0","1","1.0","1.0","1.0","0.459772254056032","8.234136581420898","0.6997779230541493","2.17131449361997","0.06259416939682054","1.0459015369415283","1000","10","1000"
"COUN-8454","2024-05-19 21:36:23","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","8.0","1","1.0","1.0","1.0","0.47510679776347237","8.305066108703613","0.7256189244493593","2.2415984127936617","0.0568407556290596","1.0402591228485107","1000","10","100"
"COUN-8478","2024-05-19 21:41:00","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","WineDataset","2.0","2","1.0","1.0","1.0","0.5511554432525276","7.459813117980957","0.6073753263376727","1.853207026189193","0.06312576084662005","1.0365880727767944","10","1","1"
